owner,license,count
Qwen,apache-2.0,236
Qwen,other,110
Qwen,unknown,16
deepseek-ai,other,41
deepseek-ai,mit,20
deepseek-ai,unknown,17
google,apache-2.0,638
google,gemma,329
google,unknown,30
google,other,24
google,cc-by-4.0,23
google,llama3,2
google,mit,2
google,cc-by-nc-4.0,1
google,llama2,1
meta-llama,llama2,25
meta-llama,llama3.2,15
meta-llama,other,13
meta-llama,llama3.1,11
meta-llama,llama3,5
meta-llama,llama3.3,1
microsoft,mit,236
microsoft,unknown,90
microsoft,apache-2.0,80
microsoft,other,8
microsoft,cc-by-nc-sa-4.0,7
microsoft,bigscience-bloom-rail-1.0,2
microsoft,cdla-permissive-2.0,1
microsoft,creativeml-openrail-m,1
microsoft,llama3,1
microsoft,ms-pl,1
mistralai,apache-2.0,33
mistralai,other,6
xai-org,apache-2.0,1
xai-org,unknown,1
